Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1,219,221
20,1,221,212
21,1,223,203
22,0,0,0
23,1,225,177
24,1,224,161
25,0,0,0
26,0,0,0
27,1,221,122
28,0,0,0
29,0,0,0
30,0,0,0
31,1,218,79
32,0,0,0
33,0,0,0
34,0,0,0
35,1,217,50
36,1,216,46
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,1,215,38
44,0,0,0
45,0,0,0
46,0,0,0
47,1,212,56
48,0,0,0
49,1,213,71
50,0,0,0
51,0,0,0
52,0,0,0
53,1,236,50
54,0,0,0
55,0,0,0
56,0,0,0
57,1,252,38
58,0,0,0
59,0,0,0
60,0,0,0
61,1,262,36
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,1,273,56
70,1,274,60
71,0,0,0
72,0,0,0
73,1,276,73
74,1,277,76
75,1,277,80
76,1,279,84
77,1,279,88
78,1,280,93
79,1,281,95
80,1,280,101
81,1,280,95
82,1,278,92
83,1,277,84
84,1,277,84
85,0,0,0
86,1,272,65
87,1,271,62
88,0,0,0
89,0,0,0
90,0,0,0
91,1,265,43
92,1,263,40
93,1,261,36
94,1,259,31
95,1,258,29
96,1,256,27
97,0,0,0
98,0,0,0
99,0,0,0
100,1,249,19
101,1,249,19
102,1,247,18
103,1,245,17
104,1,244,17
105,1,242,17
106,1,240,17
107,1,239,18
108,1,237,19
109,1,236,20
110,1,234,22
111,1,232,24
112,1,229,28
113,1,227,31
114,1,225,34
115,1,224,39
116,1,222,42
117,1,220,48
118,1,217,54
119,1,216,58
120,1,214,64
121,0,0,0
122,1,211,76
123,1,210,84
124,1,209,90
125,1,207,95
126,1,208,87
127,1,206,78
128,1,206,67
129,1,208,61
130,1,208,53
131,1,208,45
132,1,208,37
133,1,207,30
134,1,207,24
135,1,208,18
136,1,207,10
137,1,208,5
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,1,216,3
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,1,218,39
171,0,0,0
172,1,219,53
173,0,0,0
174,0,0,0
175,1,199,44
176,0,0,0
177,0,0,0
178,1,179,38
179,0,0,0
180,0,0,0
181,1,154,36
182,0,0,0
183,0,0,0
184,1,130,38
185,0,0,0
186,0,0,0
187,1,101,46
188,0,0,0
189,0,0,0
190,1,69,59
191,0,0,0
192,0,0,0
193,1,33,81
