Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,1,280,134
9,1,283,137
10,1,283,138
11,1,285,135
12,1,282,136
13,1,281,137
14,1,281,138
15,1,280,139
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,1,283,151
30,1,281,150
31,1,282,150
32,1,282,148
33,1,282,147
34,1,282,145
35,1,281,140
36,1,281,134
37,1,281,128
38,1,281,123
39,1,281,118
40,1,281,114
41,1,280,110
42,1,281,107
43,1,281,101
44,1,281,97
45,1,281,94
46,1,281,91
47,1,281,88
48,1,281,86
49,1,281,83
50,1,281,81
51,1,280,79
52,1,280,76
53,1,281,75
54,1,280,74
55,1,280,74
56,1,280,74
57,1,279,73
58,1,280,73
59,1,280,72
60,1,280,72
61,1,280,72
62,1,280,73
63,1,279,74
64,1,279,75
65,1,279,76
66,1,279,78
67,1,279,79
68,1,279,82
69,1,280,88
70,1,280,91
71,1,279,94
72,1,279,98
73,1,280,101
74,1,275,98
75,1,269,95
76,1,264,91
77,1,258,88
78,1,252,85
79,1,244,82
80,1,236,82
81,1,229,81
82,1,220,80
83,1,211,80
84,1,201,80
85,1,190,81
86,1,178,85
87,1,165,88
88,1,152,92
89,1,135,98
90,1,119,104
91,1,101,113
92,1,80,123
93,1,58,134
94,1,35,150
