Frame,Visibility,X,Y
0,1,317,119
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,312,118
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,311,101
17,1,310,102
18,1,307,100
19,1,306,98
20,1,305,92
21,1,304,89
22,1,303,84
23,1,304,81
24,1,303,77
25,1,302,73
26,1,302,71
27,1,301,68
28,1,301,66
29,1,300,63
30,1,300,61
31,1,299,60
32,1,299,58
33,1,298,57
34,1,297,55
35,1,297,55
36,1,296,55
37,1,296,55
38,1,295,55
39,1,295,55
40,1,295,55
41,1,294,56
42,1,294,57
43,1,295,57
44,1,294,59
45,1,293,61
46,1,292,63
47,1,291,65
48,1,291,68
49,1,291,70
50,1,290,73
51,1,289,75
52,1,289,80
53,1,288,78
54,1,286,76
55,1,284,73
56,1,281,71
57,1,279,69
58,1,277,67
59,1,275,66
60,1,273,65
61,1,270,63
62,1,268,62
63,1,267,62
64,1,265,62
65,1,263,61
66,1,261,61
67,1,260,62
68,1,258,62
69,1,256,63
70,1,254,66
71,1,251,70
72,1,248,73
73,1,243,80
74,1,239,87
75,1,235,93
76,1,232,99
77,1,225,114
78,1,221,123
79,1,214,135
80,1,212,150
81,1,210,159
82,1,208,160
83,1,205,146
84,1,204,142
85,1,203,136
86,1,204,125
87,1,203,120
88,1,203,107
89,1,203,100
90,1,203,91
91,1,203,85
92,1,203,77
93,1,203,70
94,1,203,65
95,1,202,61
96,1,201,55
97,1,202,52
98,1,202,49
99,1,202,45
100,1,201,43
101,1,202,42
102,1,202,40
103,1,202,40
104,1,201,39
105,1,201,41
106,1,203,42
107,1,202,43
108,1,201,44
109,1,201,47
110,1,201,50
111,1,201,52
112,1,201,55
113,1,202,59
114,1,204,64
115,1,202,67
116,1,202,73
117,1,203,76
118,1,203,83
119,1,203,91
120,1,204,96
121,1,206,106
122,1,203,103
123,1,203,102
124,1,201,83
125,1,200,82
126,1,200,73
127,1,198,62
128,1,197,59
129,1,196,52
130,1,194,38
131,1,192,33
132,1,191,27
133,1,190,18
134,1,188,10
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,1,163,6
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,1,161,38
165,0,0,0
166,1,158,50
167,0,0,0
168,1,171,51
169,0,0,0
170,1,188,45
171,0,0,0
172,1,204,44
173,0,0,0
174,1,217,43
175,0,0,0
176,1,231,44
177,0,0,0
178,1,242,48
179,0,0,0
180,1,259,52
181,0,0,0
182,1,269,57
183,0,0,0
184,1,283,65
185,0,0,0
186,1,296,74
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,1,322,98
194,1,326,103
195,1,330,107
196,1,335,114
197,1,338,119
198,1,343,123
199,1,352,142
200,1,355,146
201,1,356,147
202,1,358,145
203,1,360,144
204,1,359,143
205,1,362,143
206,1,363,141
207,1,365,144
208,1,365,144
209,1,365,144
210,1,366,144
211,1,368,144
212,1,367,147
213,1,372,150
214,1,372,151
215,1,373,153
216,1,374,156
217,1,377,159
218,1,378,165
219,1,380,171
220,1,383,173
221,1,387,169
222,1,386,168
223,1,390,168
224,1,394,166
225,1,397,163
226,1,400,163
227,1,403,163
228,1,405,162
229,1,408,164
230,1,411,164
231,1,417,166
232,1,420,167
233,1,422,173
234,1,430,178
235,1,432,179
236,1,435,183
237,1,436,185
238,1,440,184
239,1,444,183
240,1,445,185
241,1,451,184
242,1,456,184
243,1,462,186
244,1,464,186
245,1,465,186
246,1,469,189
247,1,470,187
248,1,475,191
249,1,478,189
250,1,484,190
251,1,491,191
252,1,493,192
253,1,495,192
254,1,495,192
255,1,501,193
256,1,503,193
257,1,505,194
