Caching per-rally MS-TCN++ block-class peaks...
Cached 338 rallies.

 peak_p  max_gap  fires  TPs  FPs rallies_w_fire  FP examples
--------------------------------------------------------------------------------------------------------------
   0.30       10    185   24  161            157  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.30       12    188   24  164            158  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.30       15    188   24  164            158  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.50       10    176   24  152            150  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.50       12    178   24  154            151  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.50       15    179   24  155            151  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.70       10    165   24  141            142  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.70       12    166   24  142            143  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.70       15    167   24  143            143  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.90       10    139   23  116            121  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.90       12    142   24  118            124  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
   0.90       15    142   24  118            124  tutu/f206 (1.00); tutu/f324 (0.95); tutu/f305 (1.00)
