MS-TCN++ ACTION_TYPES: ['serve', 'receive', 'set', 'attack', 'dig', 'block']
block class index: 6

video    rally      gt_block_f  block_p@gt  block_p_peak  peak_f  attack_p@gt
------------------------------------------------------------------------------------------
yaya     17a26488          245       0.994         0.999     248        0.005
yaya     ae617088          303       0.994         0.997     306        0.005
gigi     72c8229b          631       0.001         0.003     629        0.034
caco     cfc464a7          336       0.976         0.999     339        0.023
caco     9452ee5a          190       0.997         0.999     192        0.002
lolo     bb1c9802          235       0.995         0.999     238        0.004
tete     adca6b54          212       0.972         0.999     216        0.026
veve     4c27b635          265       0.996         0.999     268        0.003
yeye     2d3cb54b          509       0.999         0.999     509        0.000
wowo     2c9092e3          443       0.996         0.997     445        0.003
tata     db841666          223       0.988         0.999     225        0.011
pupu     e11fa028          176       0.999         0.999     176        0.000
pupu     e11fa028          386       0.510         0.996     389        0.483
moma     e1929103          202       0.998         0.998     203        0.002
moma     753a4ec7          201       0.997         0.998     202        0.002
moma     9bb60892          205       0.016         0.999     210        0.981
popo     c1052008          195       0.994         0.998     197        0.005
titi     21029e9f          194       0.998         0.999     195        0.002
titi     1e38daab          185       0.998         0.999     187        0.002
mimi     f3695225          211       0.298         0.998     214        0.696
rara     da366ddb          468       0.999         0.999     468        0.000
wiwi     67166481          493       0.005         0.009     488        0.117
wiwi     0f82a711          476       0.979         0.997     478        0.018
machi    032ec267          151       0.995         0.996     152        0.004
papa     047c5e5f          451       0.915         0.999     455        0.083
mechi    c56d4b01          122       0.997         0.997     123        0.001
match    e3348468          188       0.035         0.999     193        0.960
mech     6d5e04f4          176       0.998         0.999     178        0.002

Median block-class prob AT GT frame:  0.995
Mean block-class prob AT GT frame:    0.808
GT block frames with block-prob >= 0.50: 23/28
GT block frames with block-prob >= 0.30: 23/28
