rally_id,video,prev_frame,curr_frame,prev_action,curr_action,prev_pid,curr_pid,prev_team,curr_team,walker_would_flip,event_type
5b23ee5f-00aa-463a-a3dd-d7c49fa6fd39,caco,51,86,serve,receive,3,2,B,A,True,crossing
9452ee5a-4ec7-40b6-904d-50c855dcd545,caco,37,80,serve,receive,4,2,B,A,True,crossing
9452ee5a-4ec7-40b6-904d-50c855dcd545,caco,187,190,attack,block,2,4,A,B,True,crossing
9452ee5a-4ec7-40b6-904d-50c855dcd545,caco,190,216,block,dig,4,1,B,A,False,crossing
cfc464a7-423f-4c65-aa9b-0f0484d1da20,caco,54,90,serve,receive,3,1,B,A,True,crossing
cfc464a7-423f-4c65-aa9b-0f0484d1da20,caco,155,190,attack,dig,1,3,A,B,True,crossing
cfc464a7-423f-4c65-aa9b-0f0484d1da20,caco,190,240,dig,dig,3,2,B,A,False,crossing
cfc464a7-423f-4c65-aa9b-0f0484d1da20,caco,334,336,attack,block,2,4,A,B,True,crossing
cfc464a7-423f-4c65-aa9b-0f0484d1da20,caco,336,357,block,dig,4,1,B,A,False,crossing
55e78d3a-28b5-4582-a270-bb34fe0275ba,cece,45,89,serve,receive,2,4,A,B,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,78,114,serve,receive,4,2,B,A,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,211,245,attack,attack,2,3,A,B,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,245,289,attack,dig,3,1,B,A,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,336,373,attack,attack,2,4,A,B,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,373,423,attack,dig,4,1,B,A,True,crossing
5c35e049-1395-455f-a426-3b101a446391,cece,501,528,attack,dig,1,3,A,B,True,crossing
79ecfb2d-ac7c-46df-9ef7-c07dc117bc2f,cece,86,115,serve,receive,1,3,A,B,True,crossing
79ecfb2d-ac7c-46df-9ef7-c07dc117bc2f,cece,115,163,receive,dig,3,1,B,A,False,crossing
79ecfb2d-ac7c-46df-9ef7-c07dc117bc2f,cece,249,270,attack,dig,1,4,A,B,True,crossing
8f17a3ed-c050-4714-952a-725620d3435c,cece,89,122,serve,receive,1,4,A,B,True,crossing
f978201e-42a4-4c5e-9fa0-74505a73458d,cece,57,92,serve,receive,3,1,B,A,True,crossing
f978201e-42a4-4c5e-9fa0-74505a73458d,cece,181,195,attack,set,1,3,A,B,True,crossing
17b080fa-c033-464a-a3aa-441af554a8a4,cici,123,161,serve,receive,2,4,A,B,True,crossing
17b080fa-c033-464a-a3aa-441af554a8a4,cici,250,270,attack,dig,3,1,B,A,True,crossing
34430b2e-4090-4c28-85dc-38e2c35d7656,cici,139,171,serve,receive,4,1,B,A,True,crossing
aeffed7c-7dc3-484b-81ae-1f9ee97fbec8,cici,109,143,serve,receive,4,1,B,A,True,crossing
b4747e0d-9589-4085-bc48-beeca8ca70c8,cici,89,127,serve,receive,3,2,B,A,True,crossing
b4747e0d-9589-4085-bc48-beeca8ca70c8,cici,215,241,attack,dig,2,4,A,B,True,crossing
d362c7b2-2699-4edd-be83-5e5b563bf463,cici,303,328,attack,attack,2,4,A,B,True,crossing
d362c7b2-2699-4edd-be83-5e5b563bf463,cici,328,365,attack,dig,4,1,B,A,True,crossing
d362c7b2-2699-4edd-be83-5e5b563bf463,cici,413,493,set,dig,2,4,A,B,False,crossing
ef07c839-a99b-4d90-b0fd-99b278714bce,cici,85,118,serve,receive,3,1,B,A,True,crossing
ef07c839-a99b-4d90-b0fd-99b278714bce,cici,207,235,attack,dig,1,4,A,B,True,crossing
106e295e-d5c1-4211-b7aa-281ce67db3f2,cuco,85,119,serve,receive,4,2,B,A,True,crossing
106e295e-d5c1-4211-b7aa-281ce67db3f2,cuco,154,184,attack,dig,1,4,A,B,True,crossing
7539e9b9-f70a-4483-a925-6ba100272f79,cuco,45,79,serve,receive,3,1,A,B,True,crossing
886a43db-c30c-4123-a702-073ffa88dda9,cuco,96,130,serve,receive,1,4,B,A,True,crossing
ba7c42c5-5aef-4c17-805b-d0979c229551,cuco,18,64,serve,receive,2,4,A,B,True,crossing
ba7c42c5-5aef-4c17-805b-d0979c229551,cuco,152,187,attack,attack,4,1,B,A,True,crossing
ba7c42c5-5aef-4c17-805b-d0979c229551,cuco,187,239,attack,dig,1,3,A,B,True,crossing
ba7c42c5-5aef-4c17-805b-d0979c229551,cuco,275,318,attack,attack,4,1,B,A,True,crossing
ba7c42c5-5aef-4c17-805b-d0979c229551,cuco,318,375,attack,dig,1,3,A,B,True,crossing
d0d64de1-b63e-4fff-8b13-cb0e2ed1a09d,cuco,37,80,serve,receive,2,3,A,B,True,crossing
d0d64de1-b63e-4fff-8b13-cb0e2ed1a09d,cuco,178,194,attack,dig,3,1,B,A,True,crossing
d2995693-c79b-42bd-8092-81d464191845,cuco,121,151,serve,receive,4,1,B,A,True,crossing
d2995693-c79b-42bd-8092-81d464191845,cuco,243,262,attack,dig,2,4,A,B,True,crossing
f127f3d5-17ed-4641-8f5a-cbc76a09bdab,cuco,85,120,serve,receive,4,1,B,A,True,crossing
f127f3d5-17ed-4641-8f5a-cbc76a09bdab,cuco,204,219,attack,dig,1,3,A,B,True,crossing
