video    rally      gt_serve_f    dc@4    dc@6    dc@8   max_nonserve@6
--------------------------------------------------------------------------------
tutu     21266995           81   178.8   178.8   178.8            173.9
tutu     7a9aadfd          100     0.0     0.0     0.0              0.0
tutu     0585f707          154    15.4    15.4    15.4            153.8
tutu     b5724a69          116     0.0     0.0     0.0              0.0
gugu     fc53d8ef           75   168.9   168.9   168.9            179.3
yaya     de08f58e          121    21.4    21.4    21.4            178.5
yaya     193be78f          121    16.0    16.0    16.0            178.0
yaya     639daf33          144    32.9    32.9    32.9            176.9
yaya     ae617088           79     2.8     2.8     2.8            170.4
yoyo     740ffd88           85    21.8    21.8    21.8            178.9
yoyo     eb956886          163     7.8     7.8     7.8            180.0
yoyo     2eee878b           98   171.4   171.4   171.4            175.1
yoyo     9d24aa93           90   112.8   112.8   112.8            176.3
yoyo     f9327b6e          174   175.0   175.0   175.0            176.3
yoyo     e99733e3          103   171.7   171.7   171.7            171.0
yoyo     eb74d667           94    17.1    17.1    17.1            179.7
matttch  d724bbf0           61    11.0    11.0    11.0            179.4
matttch  17fa7f9c           50    72.8    72.8    72.8             78.6
caca     f0fdfcdb          248     4.7     4.7     4.7            179.6
gigi     72c8229b           92    23.2    23.2    23.2            180.0
gigi     df3de8ed          102     4.5     4.5     4.5            179.9
ruru     be3134ba          206   152.5   152.5   152.5            180.0
ruru     cc2b967b          224     0.0     0.0     0.0              0.0
ruru     3655eb69          143     0.0     0.0     0.0              0.0
muchi    d5b199ea           73   144.9   144.9   144.9            177.4
caco     5b23ee5f           51   178.6   178.6   178.6            178.8
caco     cfc464a7           54    10.6    10.6    10.6            174.2
caco     9452ee5a           37     0.0     0.0     0.0            173.6
yaya     67abc72e           68    15.2    15.2    15.2            177.8
yaya     8a542678           56    16.8    16.8    16.8            173.0
lili     e8c95aea           75    35.7    35.7    35.7            177.8
lili     a7b017cd           83    17.4    17.4    17.4            176.6
lili     b5a0c6b5           86    88.0    88.0    88.0             92.8
lili     bace791b           74   177.9   177.9   177.9            138.2
lili     15691670           75    23.4    23.4    23.4            160.6
lili     879a8cff           87     4.4     4.4     4.4            176.8
lolo     1f6a9b94           82    63.7    63.7    63.7            178.7
lolo     173a4a61          127    20.6    20.6    20.6            177.0
lolo     3151a902          137    34.7    34.7    34.7            162.5
lolo     059d1c87           88    19.5    19.5    19.5            179.5
lolo     8ce36875           40     0.0     0.0     7.7            155.1
lolo     bb1c9802          108     2.9     2.9     2.9            178.4
matchc   9501aa64           90    18.3    18.3    18.3            166.9
matchope bd77efd1           54   174.8   174.8   174.8            161.3
mame     27964520          102    37.5    37.5    37.5            179.1
mame     9c70e73a          121     7.3     7.3     7.3            180.0
tete     b4d9c787           61     0.0     0.0     0.0              0.0
tete     ca0ccd55           84     0.0     0.0     0.0              0.0
veve     7b5a6973           56     1.5     1.5     1.5            155.5
veve     8276604f           56     4.6     4.6     4.6            179.0
veve     cecb6ebf           28     2.5     2.5     2.5            176.9
veve     a51a6746           79    37.0    37.0    37.0            179.8
veve     24b025fa           65    13.2    13.2    13.2            179.0
gaga     d474b2ad          156     5.7     5.7     5.7            180.0
gaga     a11d3733           88     1.5     1.5     1.5            170.5
gaga     c9c9bdc2          121   179.2   179.2   179.2            179.2
gaga     19089729           87     0.0     0.0     0.0              0.0
gaga     a9bd5acb          110     0.5     0.5     0.5            159.7
lele     c4eb6810           84     1.3     1.3     1.3             26.9
lele     7ff96129           85    45.8    45.8    45.8            179.6
pipi     8500f776           73    29.1    29.1    29.1            173.1
pipi     75295533           56    11.3    11.3    11.3            171.7
pipi     89bd8f53           65    11.1    11.1    11.1            178.9
pipi     076cb0fe           55   152.0   152.0   152.0            172.0
dark     1f87460b           55     8.1     8.1     8.1            142.5
dark     a154c554           55    33.1    33.1    33.1             18.1
dark     cf4cdd43           43   156.4   156.4   156.4            176.9
lala     6a467cf6           75     2.1     2.1     2.1            179.5
lala     276985b8           76     2.4     2.4     2.4            177.5
lala     2eeb3ae6           92     1.3     1.3     1.3            122.3
michu    2dff5eeb           48   169.2   169.2   169.2            107.6
michu    e86152b7           51    13.0    13.0    13.0            175.6
wewe     0b8c1d2b          172     3.9     3.9     3.9            173.9
wewe     ecfed131          189    11.6    11.6    11.6            177.6
wewe     83790ce7          204    40.1    40.1    40.1            179.7
wewe     7a49d939          217     0.4     0.4     0.4            178.4
wewe     247ab722          273   152.7   152.7   152.7            179.2
yeye     df3ba73b          111   175.6   175.6   175.6            179.8
yeye     4c0f4c83           91     0.0     0.0     0.0              0.0
yeye     cbf17cce          104     1.9     1.9     1.9            173.9
yeye     721bb968          112     7.9     7.9     7.9            179.8
yeye     61f79c70          102     9.2     9.2     9.2            177.3
yeye     2d3cb54b           81     1.1     1.1     1.1              0.0
wowo     169292de          214    26.0    26.0    26.0            179.6
wowo     2c9092e3          184   125.9   125.9   125.9            177.0
pepe     fcbd34b5           66   166.1   166.1   166.1            155.8
matchop  0af554b5           53     0.0     0.0     0.0            178.5
tata     ad7cccbf           85     0.0     0.0     0.0              0.0
tata     97c42190           77     0.0     0.0     0.0            163.0
tata     e50f127e          117     2.2     2.2     2.2            178.1
